pair,D1-D2 (2-8d),D3-D4 (8-32d),D5-D6 (32-128d),n_obs
BUIDL-FANG,0.2618416786720415,0.18024865060911716,0.34984193022889537,528
OUSG-FANG,0.2509430892846843,0.24246577648483394,0.2588869609995177,880
sUSDS-FANG,0.2550740738466367,0.14908266749080692,0.22215106095172588,371
OUSG-SOXX,0.24423157175797147,0.24528497410103772,0.24041128200160095,880
OUSG-BTC,0.25136843347022575,0.22112916652702164,0.20311959413635158,880
sUSDS-BTC,0.2472726431086057,0.19511279889211608,0.17310367041326033,371
IEF-GLD,0.3839113594485307,0.3279910701809922,0.27180275585304287,906
