"pair","n_obs","degenerate","block_length","point_mean","boot_mean","boot_se","ci95_lo","ci95_hi"
"BUIDL_AAVE",527,TRUE,8,0.0436218053267928,0.0436218039204686,3.85711677427654e-08,0.0436217250364645,0.0436218798746273
"BUIDL_BTC",527,TRUE,8,0.0590883868480264,0.0590883864885119,3.15685603329518e-08,0.0590883209523893,0.0590884485752812
"BUIDL_ETH",527,TRUE,8,0.0111005775299085,0.0111005793097139,3.92812475294399e-08,0.0111005020430968,0.0111006574630716
"BUIDL_FANG",527,TRUE,24,0.051439601499852,0.0514396014486519,1.06861295359702e-07,0.0514393875813559,0.0514398213492406
"BUIDL_GLD",527,FALSE,8,0.0402005967207019,0.0402060422220029,0.00113038140278895,0.0380208390934957,0.0424997457133259
"BUIDL_SMH",527,TRUE,15,0.079385127694627,0.0793851285901868,7.62585664456286e-08,0.0793849734072465,0.0793852732558052
"BUIDL_SOXX",527,TRUE,8,0.0648070451969723,0.0648070445516565,4.45267908248312e-08,0.0648069572199737,0.064807133411637
"BUIDL_UNI",527,FALSE,51,0.0299726724926987,0.0299708358401657,0.000973213228347808,0.0279724004310378,0.0317927558991361
"IEF_BTC",905,FALSE,80,0.00143595512430729,0.00175506748044213,0.00808217213948158,-0.0137787459227524,0.0165976206241354
"IEF_ETH",905,FALSE,56,0.0208352659169816,0.0209065749738543,0.00495248996057671,0.0107825230540165,0.0304478085219569
"IEF_FANG",905,FALSE,90,0.045217768113055,0.046650573196645,0.0231389365043368,0.00277602229933124,0.0937058928568778
"IEF_GLD",905,FALSE,90,0.316023713082364,0.315356837787154,0.0368662509481021,0.247254144153584,0.386715616593616
"IEF_SOXX",905,FALSE,90,0.0186743047150379,0.018633372115435,0.0238390989710148,-0.0277075424564038,0.0644820908954708
"OUSG_AAVE",879,FALSE,21,0.0109152236389407,0.0108947689809651,0.0038710457829325,0.00297349886762563,0.0182912211116615
"OUSG_BTC",879,FALSE,12,0.0130692430581408,0.0130756514969066,0.000349908128200619,0.01241734721458,0.0137795019971515
"OUSG_ETH",879,FALSE,87,0.0281361273071427,0.0270935263148142,0.010217450387234,0.00825198227425835,0.0472905177400169
"OUSG_FANG",879,FALSE,10,0.016722803347454,0.0167583956592879,0.00299718518103396,0.0108689385610638,0.0226251340486879
"OUSG_GLD",879,TRUE,10,0.0288802232025699,0.0288802232158891,2.80868943913896e-08,0.0288801681917254,0.0288802803718618
"OUSG_SMH",879,FALSE,10,-0.0031000029486117,-0.0030252387952571,0.00390743148172084,-0.0107939880349066,0.00485084174895442
"OUSG_SOXX",879,FALSE,10,0.00323353582122927,0.00322768311883296,0.00404552013909553,-0.00517572133460794,0.0112919460189343
"OUSG_UNI",879,FALSE,80,0.0150368729037765,0.0149237114322898,0.00846523206765575,-0.0011895726058239,0.0312643979412605
"SHV_BTC",905,FALSE,10,0.00131606612228673,0.00130631341415069,0.000278259980426384,0.00077981623786305,0.00188054576568624
"SHV_ETH",905,FALSE,10,0.0208757977585262,0.0208711617606175,0.000101393078007323,0.0206819536963596,0.0210792106348585
"SHV_FANG",905,TRUE,10,0.00805299806085749,0.00805299754690126,4.1268150641713e-08,0.00805291819617929,0.00805307773816719
"SHV_GLD",905,FALSE,90,0.120562821372706,0.120738325186112,0.0236533138799787,0.0737974438466918,0.166624460158254
"SHV_SOXX",905,FALSE,19,-0.00357286081977927,-0.00341896282479413,0.00554184036013072,-0.0142342988159146,0.00761722793506038
"sUSDS_AAVE",370,TRUE,7,0.00199946372486649,0.00199946361653428,5.62657696875983e-08,0.00199936317152493,0.00199958479473558
"sUSDS_BTC",370,FALSE,7,-0.00751251943749268,-0.00754360340305254,0.00947073059277086,-0.0253973226221025,0.0124119244200626
"sUSDS_ETH",370,TRUE,7,-0.0261992450026959,-0.0261992463655437,5.26810593769348e-08,-0.0261993389679893,-0.0261991377362434
"sUSDS_FANG",370,FALSE,26,-0.0298591321836865,-0.0289869516927462,0.0206204856138893,-0.0702096037549907,0.0100022864213683
"sUSDS_GLD",370,FALSE,11,0.0208514791232348,0.0209136904629785,0.00603812301474228,0.00891777695498617,0.0330180196150836
"sUSDS_SMH",370,FALSE,23,-0.0170815600186875,-0.0173744728769314,0.0125394174798448,-0.0437818464225372,0.00522575549989672
"sUSDS_SOXX",370,FALSE,22,-0.00119166043385832,-0.00153133837333468,0.012737499562665,-0.027029115301993,0.0233436181335759
"sUSDS_UNI",370,TRUE,8,-0.0481883134239263,-0.048188306708981,5.69230297711948e-08,-0.0481884232267214,-0.048188198945207
