series,n,mean,sd,skew,kurtosis,min,max,JB_stat,JB_pvalue
R_FANG,907,0.15226317771486023,1.5783874801583493,-0.20510099006569416,3.6298525420812346,-4.7846089712586295,4.610572534543807,21.351531648658508,2.3097969971282703e-05
R_SOXX,907,0.16895703832980918,2.290719852704376,-0.34495879258702666,4.436514958328043,-8.04649414557209,6.623293253441799,95.97426168117433,1.4436232688560091e-21
R_SMH,907,0.19162097280203874,2.152378823753768,-0.34862871925193734,4.379979848532714,-7.581446093444529,6.567104345513028,90.34144468083994,2.4132623865546985e-20
R_SHV,907,0.01779264169502794,0.01585712203481442,0.8533720144817629,3.937916179578162,-0.0181947971779097,0.0725382235022743,143.33101582781867,7.517360371398885e-32
R_IEF,907,0.009258178619889928,0.4381575070910318,0.13432236297046607,3.4612330096492325,-1.1424965933262787,1.38909748792511,10.767067971463856,0.00459156669284268
R_BUIDL_mkt,529,0.3576697046321439,2.763095774380812,2.479495089047532,16.19377230023721,-7.8047269820181695,14.951147181904435,4378.956444595273,0.0
R_BUIDL_nav,908,0.012855400247420141,0.0018723183044683583,-0.08944716961348824,1.5170313733244207,0.0099324657534246,0.0153972602739726,84.4137005057854,4.675174620371313e-19
R_OUSG_mkt,881,0.5880211320945917,2.7697259656053137,3.223796792066596,17.469757965419316,-6.0835663979420405,15.685458343800027,9211.785872087445,0.0
R_OUSG_nav,908,0.012855400247420141,0.0018723183044683583,-0.08944716961348824,1.5170313733244207,0.0099324657534246,0.0153972602739726,84.4137005057854,4.675174620371313e-19
R_sUSDS_mkt,372,0.11933651977246276,3.9323179660435867,-0.21827610573994663,7.564250690801277,-14.438209223374027,13.901513426544948,325.85591412833276,1.7429595138448214e-71
R_sUSDS_nav,373,0.011813213852877381,0.0018668479272765759,1.6041843978896502,6.3657032196281325,0.0096438356164383,0.0178082191780821,336.03552115186847,1.0735288499426995e-73
