pair,n_obs,mean_rho_low_regime,mean_rho_high_regime,P_stay_low,P_stay_high,expected_duration_low_days,expected_duration_high_days,frac_time_high_regime,loglik,AIC
OUSG_FANG,879,0.01424205021107561,0.021024057337024293,0.660111345892697,0.41047932963936395,2.942139985891673,1.696293362178896,0.3242320819112628,1405.3648125767572,-2798.7296251535145
sUSDS_FANG,370,-0.12943080424868983,0.158313985493902,0.9371039346583594,0.8820242701476186,15.899245756760333,8.476319673980935,0.3324324324324324,140.04859386388185,-268.0971877277637
OUSG_SOXX,879,0.0020712584341187057,0.005050316009425615,0.6029288560490518,0.3793489005151497,2.5184403733038176,1.6112111955171189,0.34812286689419797,1151.293522464478,-2290.587044928956
sUSDS_SOXX,370,-0.16982665433987612,0.030373481754538915,0.8811725058167963,0.9785640714026794,8.41556078308138,46.65064988717106,0.8486486486486486,295.6101639013407,-579.2203278026814
OUSG_SMH,879,-0.004696527748900647,-0.0003728808159106101,0.6283677241379522,0.36521446861383344,2.6908319458539336,1.5753352125344178,0.323094425483504,1161.2969636487242,-2310.5939272974483
sUSDS_SMH,370,-0.03172205251985831,0.003317345232053905,0.8788988162083257,0.8286607639569046,8.257557595145075,5.836374802958027,0.37567567567567567,318.1495061450017,-624.2990122900034
IEF_FANG,905,-0.07145774965511376,0.16516994361676005,0.9622908029769204,0.9631234579523184,26.518729618876737,27.117510061192625,0.4895027624309392,754.7057246203642,-1497.4114492407284
OUSG_BTC,879,0.013064747149781787,0.013084676198843353,0.8286218100856585,0.4112043880530281,5.8350482082919735,1.6983822224715592,0.1945392491467577,3733.298484090711,-7454.596968181422
sUSDS_BTC,370,-0.009158171313455112,-0.005438607995485574,0.5506164877629725,0.4335694351531831,2.22527078268183,1.765441454011995,0.5054054054054054,219.71520151684933,-427.43040303369867
OUSG_AAVE,879,0.010507787546817044,0.011752835026141264,0.8541712434334314,0.6991076478120012,6.8573580653382,3.32344771386943,0.2901023890784983,1567.6961328975203,-3123.3922657950407
OUSG_UNI,879,0.012387324918669573,0.01949170788150999,0.9564392606648491,0.9283300866100975,22.956451503408243,13.952856264242246,0.36746302616609783,1370.7349999294597,-2729.4699998589194
IEF_BTC,905,-0.0671637009793109,0.044299160463240846,0.9383650975705262,0.9626359902941921,16.22457342484249,26.76372284114248,0.6187845303867403,1419.365474937567,-2826.730949875134
IEF_GLD,905,0.21088235857548163,0.46854363360859397,0.9876329750658006,0.9800626330311504,80.86019113898855,50.15707448041719,0.4066298342541437,893.2341695935984,-1774.4683391871968
SHV_GLD,905,0.006503430129004039,0.22318513073287724,0.9734946072485119,0.9778224776257055,37.72817137161102,45.09069963374626,0.523756906077348,765.846096922632,-1519.692193845264
