"pair","n_obs","band","WTC","PWC","attenuation"
"BUIDL_FANG",528,"D1-D2 (2-8d)",0.324179966810135,0.238379831505336,0.0858001353047993
"BUIDL_FANG",528,"D3-D4 (8-32d)",0.257818685499364,0.177291798037949,0.080526887461415
"BUIDL_FANG",528,"D5-D6 (32-128d)",0.432796066557409,0.401501134969245,0.031294931588164
"OUSG_FANG",880,"D1-D2 (2-8d)",0.311044467078308,0.228825474390673,0.0822189926876342
"OUSG_FANG",880,"D3-D4 (8-32d)",0.323351296125583,0.226535265036846,0.0968160310887373
"OUSG_FANG",880,"D5-D6 (32-128d)",0.334718982481061,0.245505451487076,0.0892135309939854
"sUSDS_FANG",371,"D1-D2 (2-8d)",0.318896270161068,0.205676175341428,0.11322009481964
"sUSDS_FANG",371,"D3-D4 (8-32d)",0.240429779153099,0.136797231566058,0.103632547587041
"sUSDS_FANG",371,"D5-D6 (32-128d)",0.368453986233655,0.311873171156335,0.05658081507732
"OUSG_SOXX",880,"D1-D2 (2-8d)",0.299550168173072,0.211567349988931,0.0879828181841413
"OUSG_SOXX",880,"D3-D4 (8-32d)",0.323435064627673,0.243713285354819,0.0797217792728539
"OUSG_SOXX",880,"D5-D6 (32-128d)",0.303055386813287,0.247738507399498,0.0553168794137886
"IEF_GLD",906,"D1-D2 (2-8d)",0.434962045167035,0.307813289466302,0.127148755700732
"IEF_GLD",906,"D3-D4 (8-32d)",0.394751867784779,0.284452563714911,0.110299304069869
"IEF_GLD",906,"D5-D6 (32-128d)",0.344661659974564,0.242581907699776,0.102079752274788
