series,LB10_stat,LB10_pvalue,LB10_sq_stat,LB10_sq_pvalue,ARCH_LM_stat,ARCH_LM_pvalue
R_FANG,3.128110382480991,0.9782462792593092,103.4764159849841,1.0955495125497528e-17,56.359406015890144,1.7579905557209718e-08
R_SOXX,12.620142106559724,0.2456920982370813,228.87237907009177,1.4802968885774007e-43,105.1064170096988,5.155763198804762e-18
R_SMH,8.75788175459942,0.5552254069234542,133.12850262854622,1.0733750119594427e-23,71.86391660448861,1.9334096602340885e-11
R_SHV,436.9347547317223,1.2768697978312118e-87,365.5035772016299,2.0356328099836051e-72,255.74902723804982,3.352893625409273e-49
R_IEF,6.074557902720547,0.8089607774441303,169.29556434433158,3.881049833778077e-31,76.27236259664106,2.688603792712933e-12
R_BUIDL_mkt,79.58259576284522,6.060847804577404e-13,131.1907703034621,2.669627029385154e-23,85.57074663961468,4.027660206154126e-14
R_BUIDL_nav,8986.057036493192,0.0,8984.546261593861,0.0,895.2990912878342,6.541889010971887e-186
R_OUSG_mkt,27.557000652261458,0.0021246113374124268,38.57173157896477,3.016733843562898e-05,12.431267758103123,0.25722936164085547
R_OUSG_nav,8986.057036493192,0.0,8984.546261593861,0.0,895.2990912878342,6.541889010971887e-186
R_sUSDS_mkt,15.771736802981978,0.10635580374123768,21.773159449422113,0.016302848327148494,18.836639147161083,0.04238734955460077
R_sUSDS_nav,2722.9300849195174,0.0,2566.784021695031,0.0,345.7627153286894,3.1584065507928295e-68
R_BTC,12.30666795237001,0.26505652075942165,25.438161175093015,0.004574035830137038,23.326927871099002,0.009602079887241767
R_ETH,13.844929544090528,0.18018308738177635,24.130311591910527,0.007261915781145911,22.654077897351158,0.012098024142078419
R_UNI,8.330723572144441,0.5965667594666912,11.49709136816673,0.32012230389998386,11.00506472516561,0.35712354900461063
R_AAVE,16.44554796014061,0.0875687385394398,13.819883109106705,0.18136696564792132,12.146821658279435,0.2753504762045411
R_GLD,7.564072872363654,0.6713332744287964,392.1951172869446,4.310162384008469e-78,142.60992759570206,1.2291824832391866e-25
